Line,,,3D,,,Full,,,Imp-3D,,
10,114,0.114,10,106,0.106,10,68,0.068,10,129,0.129
20,178,0.178,20,190,0.19,20,78,0.078,20,218,0.218
30,168,0.168,30,254,0.254,30,79,0.079,30,276,0.276
40,205,0.205,40,381,0.381,40,88,0.088,40,308,0.308
50,254,0.254,50,423,0.423,50,96,0.096,50,450,0.45
