Line,,,3D,,,Full,,,Imp-3D,,
10,3220,3.22,10,1231,1.231,10,917,0.917,10,869,0.869
20,11577,11.577,20,2743,2.743,20,1916,1.916,20,1763,1.763
30,46647,46.647,30,4587,4.587,30,3093,3.093,30,2568,2.568
40,125341,125.341,40,7172,7.172,40,3965,3.965,40,3458,3.458
50,149975,149.975,50,8717,8.717,50,5013,5.013,50,4580,4.58
