Line,,,3D,,,Full,,,Imp-3D,,
10,50,0.05,10,78,0.078,10,31,0.031,10,51,0.051
20,56,0.056,20,59,0.059,20,32,0.032,20,72,0.072
30,34,0.034,30,246,0.246,30,47,0.047,30,157,0.157
40,39,0.039,40,223,0.223,40,31,0.031,40,258,0.258
50,90,0.09,50,156,0.156,50,110,0.11,50,369,0.369
